code1,code2,route,destination
9370,,1,mobile
9379,,1,mobile
9381,9399,1,proper
9371,9378,1,proper
930,936,1,proper
35568,35569,3,mobile
35500,35541,3,proper
35542,35543,3,proper
35544,35567,3,proper
3557,3559,3,proper
2137,,6,mobile
21361,,6,mobile
21321,,6,proper
21300,21320,6,proper
21322,21360,6,proper
21362,21369,6,proper
2138,2139,6,proper
16857,,9,mobile
16842,,9,mobile
6852,6856,9,proper
6843,6849,9,proper
6840,6841,9,proper
3763,,13,mobile
3764,3769,13,proper
3760,3762,13,proper
24491,24492,15,mobile
24493,24499,15,proper
24400,24490,15,proper
1800,,869,"Toll Free"
1855,,869,"Toll Free"
1866,,869,"Toll Free"
1877,,869,"Toll Free"
1888,,869,"Toll Free"
1899,,869,"Toll Free"
1880,1889,869,"Toll Free"
1882,,869,"Toll Free"
1876301,1876309,882,mobile
1876490,1876494,882,mobile
1268764,,875,mobile
1268723,1268729,875,mobile
1268464,,875,mobile
1268770,1268775,875,mobile
1869662,1869662,886,mobile
1242557,,871,mobile
1242457,,871,mobile
1242359,,871,mobile
1242357,,871,mobile
1670287,,883,mobile
1876877,1876887,882,mobile
1876840,1876875,882,mobile
1876812,1876839,882,mobile
1876801,1876809,882,mobile
1876796,1876799,882,mobile
1876787,1876793,882,mobile
1876781,1876784,882,mobile
187677,,882,mobile
1876707,,882,mobile
1876700,,882,mobile
1876445,1876464,882,mobile
1876412,1876443,882,mobile
1876401,1876410,882,mobile
187635,187639,882,mobile
1876312,1876349,882,mobile
1876310,,882,mobile
1876997,,882,mobile
1876999,,882,mobile
1876889,1876899,882,mobile
1876909,,882,mobile
1876919,,882,mobile
1876990,,882,mobile
1876995,,882,mobile
1664492,,884,mobile
1345916,1345917,877,mobile
1345925,1345929,877,mobile
1767275,1767277,878,mobile
1767265,,878,mobile
1767245,,878,mobile
1767235,,878,mobile
1767225,,878,mobile
1758584,,887,mobile
1758484,1758489,887,mobile
1758460,1758461,887,mobile
1758384,1758384,887,mobile
1758284,1758287,887,mobile
1758714,1758719,887,mobile
1868620,,889,mobile
1868740,1868745,889,mobile
186875,186879,889,mobile
1868678,,889,mobile
186868,,889,mobile
1473414,1473419,880,mobile
14734071,14734076,880,mobile
1473406,,880,mobile
1441234,,873,mobile
1649241,1649243,890,mobile
1649231,1649232,890,mobile
1649249,,890,mobile
1784526,1784531,888,mobile
1784492,1784493,888,mobile
1784454,1784455,888,mobile
1784593,,888,mobile
1264497,1264497,17,mobile
124626,,872,mobile
1246230,1246241,872,mobile
1246250,,872,mobile
124623,,872,mobile
124624,,872,mobile
1246251,,872,mobile
1246252,,872,mobile
1246253,,872,mobile
1246254,,872,mobile
1246446,,872,mobile
1246447,,872,mobile
1246448,,872,mobile
1246449,,872,mobile
124645,,872,mobile
124652,,872,mobile
124682,,872,mobile
1809377,,879,proper
1809371,1809372,879,proper
1809361,,879,proper
1809359,,879,mobile
1809358,,879,mobile
1809357,,879,mobile
1809356,1809359,879,proper
1809354,,879,mobile
1809353,,879,mobile
1809352,,879,mobile
1809351,1809354,879,proper
1809344,,879,mobile
1809343,,879,mobile
1809342,,879,mobile
1809341,,879,mobile
1809326,,879,mobile
1809325,,879,mobile
1809324,,879,mobile
1809323,,879,mobile
1809322,,879,mobile
1809318,,879,mobile
1809319,,879,mobile
1809317,,879,mobile
1809316,,879,mobile
1809315,1809320,879,proper
1809309,,879,mobile
1809308,,879,mobile
1809307,,879,mobile
1809306,,879,mobile
1809305,,879,mobile
1809304,,879,mobile
1809303,,879,mobile
1809302,,879,mobile
1809298,,879,mobile
1809297,1809298,879,proper
1809284,,879,mobile
1809283,1809291,879,proper
1809281,,879,mobile
1809272,,879,mobile
1809271,,879,mobile
1809270,,879,mobile
1809268,,879,mobile
1809267,1809268,879,proper
1809265,,879,proper
1809259,,879,proper
1809257,,879,mobile
1809253,,879,mobile
1809252,,879,mobile
1809251,,879,mobile
1809250,,879,mobile
1809249,,879,mobile
1809235,,879,proper
1809232,,879,proper
1809230,,879,mobile
1809228,1809230,879,proper
1809223,,879,mobile
1809219,,879,mobile
1809218,,879,mobile
1809217,,879,mobile
1809216,,879,mobile
1809215,,879,mobile
1809749,1809754,879,mobile
1809756,1809765,879,mobile
1809767,1809769,879,mobile
1809771,1809777,879,mobile
1809785,1809787,879,mobile
1809386,1809387,879,proper
1809387,,879,mobile
1809388,,879,proper
1809389,1809394,879,proper
1809390,,879,mobile
1809391,,879,mobile
1809382,,879,mobile
1809393,,879,mobile
1809394,,879,mobile
1809397,1809398,879,proper
1809398,,879,mobile
1809401,,879,mobile
1809402,,879,mobile
1809403,,879,mobile
1809404,,879,mobile
1809405,,879,mobile
1809407,,879,mobile
1809408,,879,mobile
1809409,,879,mobile
1809410,,879,mobile
1809413,,879,proper
1809747,,879,mobile
1809729,,879,mobile
1809727,,879,mobile
1809710,,879,mobile
1809707,,879,mobile
1809696,1809697,879,mobile
1809670,1809671,879,mobile
1809658,1809659,879,mobile
1809656,,879,mobile
1809639,1809653,879,mobile
1809637,,879,mobile
1809634,1809635,879,mobile
1809628,1809632,879,mobile
1809624,,879,mobile
1809604,,879,mobile
1809545,,879,mobile
1809542,1809543,879,mobile
1809519,,879,mobile
180949,,879,mobile
1809481,,879,mobile
1809470,,879,mobile
1809436,1809454,879,mobile
1809423,1809432,879,mobile
1809415,1809421,879,mobile
1809399,,879,mobile
1809395,1809396,879,mobile
1809383,,879,mobile
1809376,,879,mobile
1809374,,879,mobile
1809370,,879,mobile
1809366,,879,mobile
1809360,,879,mobile
1809355,,879,mobile
1809350,,879,mobile
1809348,,879,mobile
1809340,1809345,879,mobile
1809330,,879,mobile
1809321,1809327,879,mobile
1809301,1809310,879,mobile
1809299,,879,mobile
1809292,1809293,879,mobile
1809280,1809282,879,mobile
1809269,,879,mobile
1809264,,879,mobile
1809256,1809258,879,mobile
1809248,1809254,879,mobile
1809222,1809224,879,mobile
1809204,,879,mobile
1809972,1809975,879,mobile
1809977,1809982,879,mobile
1809888,1809890,879,mobile
1809873,1809886,879,mobile
180986,,879,mobile
1809834,1809858,879,mobile
1809829,,879,mobile
1809815,1809818,879,mobile
1809801,1809805,879,mobile
1809796,,879,mobile
1809912,1809918,879,mobile
1809928,1809929,879,mobile
1809932,,879,mobile
1809938,1809946,879,mobile
1809952,1809953,879,mobile
1809908,1809908,879,pager
1809830,1809832,879,pager
1809810,1809810,879,pager
1809806,1809808,879,pager
1809799,1809799,879,pager
1809744,1809744,879,pager
1809720,1809722,879,pager
1809698,1809698,879,pager
1809694,1809694,879,pager
1809636,1809636,879,pager
1809618,1809618,879,pager
1809615,1809615,879,pager
1809606,1809606,879,pager
1809546,1809546,879,pager
1809520,1809520,879,pager
1809512,1809512,879,pager
1809506,1809506,879,pager
1809504,1809504,879,pager
1809488,1809488,879,pager
1809477,1809479,879,pager
1809475,1809475,879,pager
1809266,1809266,879,pager
1809260,1809260,879,pager
1809225,1809225,879,pager
1809208,1809209,879,pager
1876980,1876980,882,"premium rate service"
1664410,1664413,884,"premium rate service"
1664664,1664664,884,"premium rate service"
1284,,876,proper
1939,,885,proper
1787,,885,proper
1473409,1473413,880,proper
14734077,14734079,880,proper
14734070,,880,proper
1473000,1473405,880,proper
147342,147399,880,proper
1671,,881,proper
1264000,1264496,17,proper
1264498,1264999,17,proper
1809800,,879,proper
1809798,,879,proper
1809797,,879,proper
1809959,1809970,879,proper
1809958,,879,proper
1809956,1809957,879,proper
1809954,1809955,879,proper
1809951,,879,proper
1809949,1809950,879,proper
1809947,1809948,879,proper
1809937,,879,proper
1809933,1809936,879,proper
1809930,1809931,879,proper
1809925,1809927,879,proper
1809923,1809924,879,proper
1809920,1809922,879,proper
1809919,,879,proper
1809788,,879,proper
1809784,,879,proper
1809781,1809783,879,proper
1809780,,879,proper
1809778,1809779,879,proper
1809770,,879,proper
1809766,,879,proper
1809755,,879,proper
1809748,,879,proper
1809745,1809746,879,proper
1809743,,879,proper
1809739,1809742,879,proper
1809736,1809738,879,proper
1809735,,879,proper
1809733,1809734,879,proper
1809731,1809732,879,proper
1809730,,879,proper
1809728,,879,proper
1809723,1809726,879,proper
1809719,,879,proper
1809718,,879,proper
1809711,1809717,879,proper
1809708,1809709,879,proper
1809702,1809706,879,proper
1809701,,879,proper
1809700,,879,proper
1809699,,879,proper
1809695,,879,proper
1809692,1809693,879,proper
1809691,,879,proper
1809679,1809690,879,proper
1809672,1809678,879,proper
180966,,879,proper
1809657,,879,proper
1809654,1809655,879,proper
1809638,,879,proper
1809633,,879,proper
1809625,1809627,879,proper
1809620,1809623,879,proper
1809619,,879,proper
1809617,,879,proper
1809616,,879,proper
1809613,1809614,879,proper
1809612,,879,proper
1809607,1809611,879,proper
1809605,,879,proper
1809600,1809603,879,proper
180959,,879,proper
180957,180958,879,proper
180956,,879,proper
1809556,1809559,879,proper
1809555,,879,proper
1809550,1809554,879,proper
1809547,1809549,879,proper
1809544,,879,proper
1809540,1809541,879,proper
1809538,1809539,879,proper
1809537,,879,proper
1809536,,879,proper
1809530,1809535,879,proper
1809521,1809529,879,proper
1809518,,879,proper
1809513,1809517,879,proper
1809507,1809511,879,proper
