code1,code2,route,destination
1101,,NULL,localextensions
1115,,NULL,localextensions
1103,,NULL,localextensions
1106,,NULL,localextensions
1109,,NULL,localextensions
1112,,NULL,localextensions
1113,,NULL,localextensions
1114,,NULL,localextensions
1125,,NULL,localextensions
1126,,NULL,localextensions
1127,,NULL,localextensions
1128,,NULL,localextensions
1130,,NULL,localextensions
1141,,NULL,localextensions
1142,,NULL,localextensions
1144,,NULL,localextensions
2210,,NULL,localextensions
2211,,NULL,localextensions
3314,,NULL,localextensions
3318,,NULL,localextensions
3320,,NULL,localextensions
3321,,NULL,localextensions
3323,,NULL,localextensions
3324,,NULL,localextensions
3327,,NULL,localextensions
3330,,NULL,localextensions
3331,,NULL,localextensions
4444,,NULL,localextensions
5001,,NULL,localextensions
5002,,NULL,localextensions
5004,,NULL,localextensions
5005,,NULL,localextensions
5012,,NULL,localextensions
7010,,NULL,localextensions
6114,,NULL,conferences
6112,,NULL,conferences
2001,,NULL,voicemail
2003,,NULL,voicemail
2004,,NULL,voicemail
2218,,NULL,localextensions
2000,,NULL,voicemail
2220,,NULL,localextensions
2221,,NULL,localextensions
1143,,NULL,localextensions
7009,,NULL,localextensions
2213,,NULL,localextensions
3329,,NULL,localextensions
3334,,NULL,localextensions
1102,,NULL,localextensions
6005,,NULL,localextensions
6006,,NULL,localextensions
6007,,NULL,localextensions
3333,,NULL,localextensions
6008,,NULL,localextensions
4445,,NULL,localextensions
4446,,NULL,localextensions
2226,,NULL,localextensions
3335,,NULL,localextensions
1145,,NULL,localextensions
3336,,NULL,localextensions
3337,,NULL,localextensions
3338,,NULL,localextensions
6001,,NULL,queues
3328,,NULL,localextensions
2215,,NULL,localextensions
2212,,NULL,localextensions
4002,,NULL,localextensions
2219,,NULL,localextensions
2217,,NULL,localextensions
3339,,NULL,localextensions
3340,,NULL,localextensions
5013,,NULL,localextensions
911,,NULL,special
1110,,NULL,localextensions
6009,,NULL,localextensions
6010,,NULL,localextensions
6011,,NULL,localextensions
3322,,NULL,localextensions
6012,,NULL,localextensions
6013,,NULL,localextensions
6014,,NULL,localextensions
2002,,NULL,voicemail
6020,,NULL,queues
1150,,NULL,localextensions
6000,,NULL,auto_attendants
2216,,NULL,localextensions
