ext,route,destination,permission
1101,869,"special service",2
1101,869,"48 States",2
1101,869,"Toll Free",2
1101,869,Alaska,2
1101,869,Hawai,2
1101,870,proper,2
1101,870,"special service",2
1115,869,"special service",2
1115,869,"48 States",2
1115,869,"Toll Free",2
1115,869,Alaska,2
1115,869,Hawai,2
1115,870,proper,2
1115,870,"special service",2
1103,869,"special service",2
1103,869,"48 States",2
1103,869,"Toll Free",2
1103,869,Alaska,2
1103,869,Hawai,2
1103,870,proper,2
1103,870,"special service",2
1109,870,proper,2
1109,870,"special service",2
1112,869,"special service",2
1112,869,"48 States",2
1112,869,"Toll Free",2
1112,869,Alaska,2
1112,869,Hawai,2
1112,870,proper,2
1112,870,"special service",2
1113,869,"special service",2
1113,869,"48 States",2
1113,869,"Toll Free",2
1113,869,Alaska,2
1113,869,Hawai,2
1113,870,proper,2
1113,870,"special service",2
1114,869,"special service",2
1114,869,"48 States",2
1114,869,"Toll Free",2
1114,869,Alaska,2
1114,869,Hawai,2
1114,870,proper,2
1114,870,"special service",2
1125,869,"special service",2
1125,869,"48 States",2
1125,869,"Toll Free",2
1125,869,Alaska,2
1125,869,Hawai,2
1125,870,proper,2
1125,870,"special service",2
1126,869,"special service",2
1126,869,"48 States",2
1126,869,"Toll Free",2
1126,869,Alaska,2
1126,869,Hawai,2
1126,870,proper,2
1126,870,"special service",2
1127,869,"special service",2
1127,869,"48 States",2
1127,869,"Toll Free",2
1127,869,Alaska,2
1127,869,Hawai,2
1127,870,proper,2
1127,870,"special service",2
1128,869,"special service",2
1128,869,"48 States",2
1128,869,"Toll Free",2
1128,869,Alaska,2
1128,869,Hawai,2
1128,870,proper,2
1128,870,"special service",2
1130,869,"special service",2
1130,869,"48 States",2
1130,869,"Toll Free",2
1130,869,Alaska,2
1130,869,Hawai,2
1130,870,proper,2
1130,870,"special service",2
1141,869,"special service",2
1141,869,"48 States",2
1141,869,"Toll Free",2
1141,869,Alaska,2
1141,869,Hawai,2
1141,870,proper,2
1141,870,"special service",2
1142,869,"special service",2
1142,869,"48 States",2
1142,869,"Toll Free",2
1142,869,Alaska,2
1142,869,Hawai,2
1142,870,proper,2
1142,870,"special service",2
1144,869,"special service",2
