ext,name,value
VIOrig,provider,p:20
VIOrig,prefix,
VIOrig,suspend,0
VIOrig,host,64.136.173.31
VIOrig,username,64.136.173.31
VIOrig,protocol,sip
VIOrig,callerid,
VIOrig,callerid_es,0
VIOrig,testnum,
VIOrig,sendpai,
VIOrig,emerg_trunk,0
VIOrig,e164,no
VIOrig,incominglimit,50
VIOrig,outgoinglimit,50
VIOrig,email_limit,1
VIOrig,o_dialoptions,
VIOrig,primary_trunk,0
VIOrig,secondary_trunk,0
VIOrig,tertiary_trunk,0
VIOrig,country_prefix,1
VIOrig,passthru_mode,0
VIOrig,national,1
VIOrig,national_leave,0
VIOrig,international,011
VIOrig,area_code,1
VIOrig,sip_headers,
VIOrig,allow,"ulaw,alaw"
VITerm,provider,p:20
VITerm,prefix,
VITerm,suspend,0
VITerm,host,64.136.174.30
VITerm,username,64.136.174.30
VITerm,protocol,sip
VITerm,callerid,
VITerm,callerid_es,0
VITerm,testnum,
VITerm,sendpai,
VITerm,emerg_trunk,1
VITerm,e164,no
VITerm,incominglimit,50
VITerm,outgoinglimit,50
VITerm,email_limit,1
VITerm,o_dialoptions,
VITerm,primary_trunk,0
VITerm,secondary_trunk,1
VITerm,tertiary_trunk,0
VITerm,country_prefix,1
VITerm,passthru_mode,0
VITerm,national,1
VITerm,national_leave,0
VITerm,international,011
VITerm,area_code,0
VITerm,sip_headers,
VITerm,allow,"ulaw,alaw"
thinQ,provider,p:20
thinQ,prefix,
thinQ,suspend,0
thinQ,host,a.lcr.thinq.com
thinQ,username,a.lcr.thinq.com
thinQ,protocol,sip
thinQ,callerid,
thinQ,callerid_es,0
thinQ,testnum,
thinQ,sendpai,
thinQ,emerg_trunk,0
thinQ,e164,no
thinQ,incominglimit,20
thinQ,outgoinglimit,20
thinQ,email_limit,1
thinQ,o_dialoptions,
thinQ,primary_trunk,1
thinQ,secondary_trunk,0
thinQ,tertiary_trunk,0
thinQ,country_prefix,1
thinQ,passthru_mode,0
thinQ,national,1
thinQ,national_leave,0
thinQ,international,011
thinQ,area_code,0
thinQ,sip_headers,
thinQ,allow,"ulaw,alaw"
TataInd,provider,p:20
TataInd,prefix,
TataInd,suspend,0
TataInd,host,202.54.112.194
TataInd,username,202.54.112.194
TataInd,protocol,sip
TataInd,callerid,
TataInd,callerid_es,0
TataInd,testnum,
TataInd,sendpai,
TataInd,emerg_trunk,0
TataInd,e164,no
TataInd,incominglimit,50
TataInd,outgoinglimit,20
TataInd,email_limit,1
TataInd,o_dialoptions,
TataInd,primary_trunk,0
TataInd,secondary_trunk,0
TataInd,tertiary_trunk,0
TataInd,country_prefix,1
TataInd,passthru_mode,0
TataInd,national,001
TataInd,national_leave,0
TataInd,international,00
TataInd,area_code,1
TataInd,sip_headers,
TataInd,allow,"ulaw,alaw"
teliorig,provider,p:20
teliorig,prefix,
teliorig,suspend,0
teliorig,host,208.103.145.20
teliorig,username,208.103.145.20
teliorig,protocol,sip
teliorig,callerid,
teliorig,callerid_es,0
teliorig,testnum,
teliorig,sendpai,
teliorig,emerg_trunk,0
teliorig,e164,no
teliorig,incominglimit,20
teliorig,outgoinglimit,10
teliorig,email_limit,1
teliorig,o_dialoptions,
teliorig,primary_trunk,0
teliorig,secondary_trunk,0
teliorig,tertiary_trunk,0
teliorig,country_prefix,1
teliorig,passthru_mode,0
teliorig,national,1
teliorig,national_leave,0
teliorig,international,011
teliorig,area_code,0
teliorig,sip_headers,
teliorig,allow,"ulaw,alaw"
Bandwidth,provider,p:20
Bandwidth,prefix,
Bandwidth,suspend,0
Bandwidth,host,67.231.5.176
Bandwidth,username,67.231.5.176
Bandwidth,protocol,sip
Bandwidth,callerid,
Bandwidth,callerid_es,0
Bandwidth,testnum,
Bandwidth,sendpai,
Bandwidth,emerg_trunk,0
Bandwidth,e164,no
Bandwidth,incominglimit,20
Bandwidth,outgoinglimit,20
Bandwidth,email_limit,1
Bandwidth,o_dialoptions,
Bandwidth,primary_trunk,0
Bandwidth,secondary_trunk,0
Bandwidth,tertiary_trunk,0
Bandwidth,country_prefix,1
Bandwidth,passthru_mode,0
Bandwidth,national,1
Bandwidth,national_leave,0
Bandwidth,international,011
Bandwidth,area_code,0
Bandwidth,sip_headers,
Bandwidth,allow,"ulaw,alaw"
DIDx,provider,p:20
DIDx,prefix,
DIDx,suspend,0
DIDx,host,167.99.13.125
DIDx,username,167.99.13.125
DIDx,protocol,sip
DIDx,callerid,
DIDx,callerid_es,0
DIDx,testnum,
DIDx,sendpai,
DIDx,emerg_trunk,0
DIDx,e164,no
DIDx,incominglimit,20
DIDx,outgoinglimit,20
DIDx,email_limit,1
DIDx,o_dialoptions,
DIDx,primary_trunk,0
DIDx,secondary_trunk,0
DIDx,tertiary_trunk,0
DIDx,country_prefix,1
DIDx,passthru_mode,0
DIDx,national,1
DIDx,national_leave,0
DIDx,international,011
DIDx,area_code,0
DIDx,sip_headers,
DIDx,allow,"ulaw,alaw"
IDT,provider,p:20
IDT,prefix,99901
IDT,suspend,0
IDT,host,216.53.4.1
IDT,username,216.53.4.1
IDT,protocol,sip
IDT,callerid,
IDT,callerid_es,0
IDT,testnum,
IDT,sendpai,
IDT,emerg_trunk,0
IDT,e164,no
IDT,incominglimit,10
IDT,outgoinglimit,10
IDT,email_limit,1
IDT,o_dialoptions,
IDT,primary_trunk,0
IDT,secondary_trunk,0
IDT,tertiary_trunk,1
IDT,country_prefix,1
IDT,passthru_mode,0
IDT,national,1
IDT,national_leave,0
IDT,international,011
IDT,area_code,0
IDT,sip_headers,
IDT,allow,"ulaw,alaw"
Alcazar,provider,p:20
Alcazar,prefix,
Alcazar,suspend,0
Alcazar,host,162.212.218.11
Alcazar,username,162.212.218.11
Alcazar,protocol,sip
Alcazar,callerid,
Alcazar,callerid_es,0
Alcazar,testnum,
Alcazar,sendpai,
Alcazar,emerg_trunk,0
Alcazar,e164,no
Alcazar,incominglimit,50
Alcazar,outgoinglimit,50
Alcazar,email_limit,1
Alcazar,o_dialoptions,
Alcazar,primary_trunk,0
Alcazar,secondary_trunk,0
Alcazar,tertiary_trunk,0
Alcazar,country_prefix,1
Alcazar,passthru_mode,0
Alcazar,national,1
Alcazar,national_leave,0
Alcazar,international,011
Alcazar,area_code,1
Alcazar,sip_headers,
Alcazar,allow,"ulaw,alaw"
ClearIP,provider,p:20
ClearIP,prefix,
ClearIP,suspend,0
ClearIP,host,sip.clearip.com
ClearIP,username,sip.clearip.com
ClearIP,protocol,sip
ClearIP,callerid,
ClearIP,callerid_es,0
ClearIP,testnum,
ClearIP,sendpai,
ClearIP,emerg_trunk,0
ClearIP,e164,yes
ClearIP,incominglimit,100
ClearIP,outgoinglimit,100
ClearIP,email_limit,1
ClearIP,o_dialoptions,
ClearIP,primary_trunk,0
ClearIP,secondary_trunk,0
ClearIP,tertiary_trunk,0
ClearIP,country_prefix,1
ClearIP,passthru_mode,0
ClearIP,national,1
ClearIP,national_leave,0
ClearIP,international,011
ClearIP,area_code,0
ClearIP,sip_headers,
ClearIP,allow,"ulaw,alaw"
